Instances,feature_Max_Normalized_Entropy_attributes,feature_Normalized_Entropy_Class_Attribute,feature_Mean_Mutual_Information_Attribute_Class,feature_ErrorRate_Decision_Node,feature_WeightedDist_StdDev,feature_Max_Feature_Efficiency_F3,feature_Collective_Feature_Efficiency_F4,feature_Training_Error_Linear_Classifier_L2,feature_Fraction_Points_Class_Boundary_N1,feature_Nonlinearity_Nearest_Neighbor_Classifier_N4,algo_NB,algo_LDA,algo_QDA,algo_CART,algo_J48,algo_KNN,algo_L_SVM,algo_poly_SVM,algo_RBF_SVM,algo_RandF
auto6_1,0.33189136,0.302976662,0.038123359,0.268433778,0.528375854,0.057166667,0.42183332,0.124999999,0.294500005,0.052749991,0.234805333,0.241045333,0.854766222,0.212551111,0.226218667,0.241088,0.242389333,0.264551111,0.256565333,0.235736889
auto6_2,0.318078955,0.293163346,0.030101969,0.265948,0.590861691,0.042749999,0.274874999,0.125,0.30325,0.059437498,0.23668,0.24333,0.246674,0.232394,0.222237,0.237382,0.25166,0.266657,0.266604,0.238045
auto6_3,0.324769946,0.320339738,0.057404722,0.29224375,0.376327441,0.156250002,0.814687409,0.125,0.296874996,0.034062505,0.24195625,0.2598375,0.8292375,0.19421875,0.2042625,0.23649375,0.2568625,0.29644375,0.27275625,0.2415375
auto7_1,0.328790839,0.22573439,0.028658618,0.335087603,0.804528546,0.014181818,0.023272727,0.2,0.400000006,0.349000001,0.280380992,0.285292562,0.26627686,0.26342314,0.265353719,0.27852562,0.274422314,0.331193388,0.280609917,0.247680165
auto7_2,0.317407175,0.167429973,0.016703841,0.455661224,0.943490853,0.064285715,0.078571433,0.333333333,0.593333344,0.358095229,0.38392449,0.401597959,0.411879592,0.283944898,0.324593878,0.383236735,0.403220408,0.389602041,0.389085714,0.333277551
auto7_3,0.313114863,0.239597018,0.025210084,0.340528,0.587394845,0.0304,0.062000001,0.200000001,0.384000009,0.317800009,0.308356,0.300808,0.273936,0.243648,0.216052,0.28878,0.287556,0.340528,0.311664,0.23782
auto8,0.313110393,0.358103142,0.034599839,0.229056,0.127293312,0.166799999,0.99539997,0,0.2476,0,0.215304,0.272384,0.884912,0.205472,0.193996,0.201176,0.207324,0.22792,0.22792,0.222236
automobile,0.518273819,0.309960202,0.244505704,0.311050839,0.829743839,0.497903571,0.996855299,0.16666667,0.187631028,0.134171903,0.174680294,0.768996331,0.768996331,0.146795073,0.087942872,0,0.768996331,0.768996331,0.768996331,0.768996331
bach,0.327453103,0.398654424,0.375715151,0.10892274,3.801713887,0.649952405,0.818803106,0.005262794,0.009180901,0.203250093,0.020443318,0.020452958,0.951843095,0.028822327,0.018939365,0.019744398,0.019022849,0.027414373,0.022096088,0.951843095
balance,0.25,0.141920442,0.093820462,0.425634286,0.577998316,0,0,0.058133334,0.236266663,0.199466646,0.045236211,0.052668469,0.569206554,0.168871234,0.315253456,0.190631807,0.051205612,0.474537593,0.104316764,0.101342427
banana,0.330372584,0.080204684,0.060391874,0.414339623,2.425424928,0.004150943,0.007735849,0.448301882,0.191132069,0.343773603,0.386415094,0.443396226,0.375660377,0.154339623,0.109056604,0.105660377,0.448301887,0.363018868,0.098301887,0.106037736
bankruptcy,0.281853251,0.178050081,0.180331216,0.24,0.772815228,0.653061211,1,0.489795923,0.20408164,0.071428597,0.105,0.125,0.185,0.105,0.205,0.06,0.105,0.27,0.145,0.085
blogger,0.324895875,0.136122973,0.034063353,0.27,0.858358494,0,0,0.319999993,0.319999993,0.300000012,0.27,0.28,0.1764,0.29,0.25,0.15,0.23,0.32,0.28,0.16
blood,0.331245013,0.082921691,0.027326921,0.238054054,1.715452326,0.009358289,0.013368985,0.237967908,0.430481285,0.416443825,0.252684685,0.231297297,0.362676302,0.219297297,0.226,0.235279279,0.239297297,0.228576577,0.223297297,0.250072072
breast,0.374904159,0.107450453,0.02812253,0.291666667,0.979811351,0.02166065,0.02166065,0.292418778,0.476534307,0.326714814,0.241666667,0.270296354,0.413672569,0.277116402,0.241534392,0.28505291,0.248809524,0.270634921,0.274074074,0.413672569
breast_cancer,0.370638373,0.107580703,0.024073842,0.296674877,0.884154024,0.003496503,0.006993007,0.297202796,0.454545468,0.346153855,0.290394089,0.301544146,0.417582418,0.342980296,0.2341133,0.293965517,0.30726601,0.282881773,0.328448276,0.417582418
